id,book_id,name,author_id,author_name,rank
201,264613,以王之名,205830,那只狐狸,25.9873
202,303797,离玉传,51913,宫藤深秀,25.9319
203,301714,无根攻略,150171,殿前欢,25.8834
204,25518,女皇神慧,23571,谈天音,25.8748
205,110051,古代风云录(1女15男),89012,逍遥双子星,25.8528
206,228698,猎人同人——当我爱罗遇见西索,82976,纳兰佩紫,25.6893
207,200541,一受封疆,150171,殿前欢,25.6374
208,310740,黑暗王者之妖临天下（女强）,242765,幽冥森罗,25.6149
209,91862,清梦无痕,72523,妖叶,25.5204
210,163579,爱就一个字,137097,zy喜悦,25.447
211,727470,[综漫]亲爱的，你让我死了行不行啊？,416750,醉墨花间,25.3905
212,642686,巨星，算什么？！,321503,月下蝶影,25.3079
213,1195546,兽人之流氓攻,677962,柴米油盐,25.3025
214,579242,斩情丝（原名：弃后）,334544,西西东东,25.2363
215,411702,怪你过分美丽,32090,未再,25.2296
216,179767,大宫-雏菊曲,152129,秋姬,25.1952
217,582026,生意人,48075,颜凉雨,25.0962
218,267089,水北天南,200525,安宁,25.0777
219,68040,穿越之风倾天下,54673,秋谚,24.9709
220,145585,叶飘零,117028,艾小萌（紫萌）,24.9222
221,1704087,足球万岁,412835,摇曳菡萏,24.8992
222,601198,青瑶夫人,400375,静江,24.8961
223,168644,梦回大唐,142144,青眉如黛,24.7419
224,354370,七上九下,136468,安思源,24.6801
225,488912,穿越太子胤礽（上）,331033,伊川,24.4642
226,202355,歌尽桃花,5279,靡宝,24.4639
227,13727,抱你在身边,14395,天水若云,24.3567
228,1749782,夺子,844192,随侯珠,24.3518
229,132457,网王同人-请叫我公主,85370,神月离人,24.3405
230,1180390,清穿之杯具时代,385671,天涯黑人,24.3399
231,1800454,和主人的十个约定,348401,青浼,24.3318
232,101835,勿忘（清宫穿越）,81211,因爱,24.2675
233,434132,皇瓜,186461,明月珰,24.2141
234,279211,醉卧红尘梦未醒之三生石,223779,有缘人,24.1694
235,1432379,位面诚实商人,340936,千萌,24.1191
236,384257,与狼共枕,122330,叶落无心,24.0849
237,188431,幸运幸运『网球王子同人』,160011,惑光,24.0441
238,351594,宝贝天下(网游),57977,风染衣,23.9976
239,1773808,两世冤家,922417,杀猪刀的温柔,23.9864
240,711812,黑魔法防御术教授——奇洛,66969,thaty,23.942
241,378390,一刀春色,235063,陈小菜,23.8058
242,1434187,末世之重生,130206,伏翼,23.7888
243,370725,绯雪倾城（原名：妖魅倾城）,277568,月如刀,23.7598
244,293983,青山接流水,215761,箫楼,23.7492
245,1741528,善男信女,291018,步微澜,23.741
246,1140079,红楼之林家谨玉,323345,石头与水,23.631
247,57792,爱在千年岁月中,46418,白菜,23.5816
248,1423406,嫤语书年,174944,海青拿天鹅,23.533
249,396890,鬼话连篇,291990,青丘,23.507
250,1771543,神仙日子,323345,石头与水,23.4829
251,1431514,会吃才会赢,247806,灵犀阁主,23.4165
252,1660167,清穿之炮灰女配,820566,桃李默言,23.2262
253,736331,跨越时空的婚姻,347029,爱玲粉丝,23.2078
254,342337,[网王BG]腐可腐，非常腐,260933,插销,23.1476
255,836347,野兽的魔法师,423749,衣落成火,23.0929
256,464698,天堂·人间之——我的青春从爱你开始,147641,桔子树,23.0425
257,117579,非我倾城,3243,顾漫,23.0425
258,342154,网王之我不是花瓶,260812,may.Y,23.0367
259,188061,残月莲夜,159551,麒之离殇,23.0079
260,264731,遭遇极品男,218021,我是苏素,23.0077
261,1769629,牛男,462386,报纸糊墙,22.9389
262,138163,主角攻文汇总,107395,敏,22.8651
263,130020,我的大学生活-绝对低调 （原名：禽兽老师）,28883,stein,22.8431
264,139903,飘零妆薄,89266,镜后,22.8339
265,412672,晨曦之雾（网络初稿）,223862,飘阿兮,22.8053
266,1705678,重生之炮灰请躺枪,527011,盈澈逝雪,22.6863
267,1667335,穿越种田之贫家女,922417,杀猪刀的温柔,22.6688
268,1612640,[重生]药膳人生,774812,流水鱼,22.5892
269,112028,网王之谁是我的小王子,58327,江水萧萧,22.5681
270,436936,挽回,186461,明月珰,22.4896
271,146075,穿越只为遇见你,119215,小逍主,22.4766
272,1722137,这世界疯了,638163,一世华裳,22.4599
273,1102428,一杆进洞,123203,张鼎鼎,22.4117
274,379248,[HP同人]如果，我不是我,282365,夜行妖,22.361
275,1745145,贤内助,739589,萌吧啦,22.346
276,64070,梦落繁花—蓝雪（二）,47199,凤凰雪,22.3459
277,83886,鉴证女法医的御守爱情,26164,zita,22.2987
278,198769,倾城别传（实体版）,171025,李李翔,22.2704
279,1093513,我的男友是怪物,326705,月下金狐,22.2558
280,1440778,罪妻,119413,蓝艾草,22.2211
281,109034,帝王画眉,61966,曦宁若海月,22.1772
282,1718137,（写文）成神系统启动中,955319,木兰竹,22.1355
283,677050,穿成霍格沃兹的画像,435217,天堂放逐者,22.09
284,59012,梦落繁花—蓝雪（一）,47199,凤凰雪,22.0499
285,294355,火影顶级穿越之不走寻常路，美丽小雏田,178202,御旒卿,22.0312
286,61552,七宝项链,45965,葡萄,22.022
287,298609,(HP同人)度假在霍格沃兹,236358,塞壬的港湾,21.982
288,383537,洁努加得玫瑰,45965,葡萄,21.9738
289,1714063,船长偏头痛,348401,青浼,21.9609
290,648095,穿越做回单亲妈妈,68031,楚湘云,21.8358
291,189383,青青子衿,161115,低糖海苔饼,21.7947
292,1645333,重生不做贤良妇,739589,萌吧啦,21.7921
293,463560,春莺啭,174944,海青拿天鹅,21.774
294,1622580,村里有只白骨精,544211,清歌一片,21.7705
295,1305232,无心法师,90716,尼罗,21.7457
296,631402,狱鬼,103563,狂上加狂,21.7294
297,87638,梦落繁花—蓝雪（三）,47199,凤凰雪,21.6566
